ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
04-05-2023,Alshawamikh Oil Services SAOC.,Oman,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,3750,0,USD,6,NOS,INDUSTRIAL VALVE COMPONENTS-SEAT P/N AS1016-10-C 1 410SS WITH HNBR RUBBER MOUL ASSEMBLY MUD GATE VAL
04-05-2023,Alshawamikh Oil Services SAOC.,Oman,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,756,0,USD,6,NOS,"INDUSTRIAL VALVE COMPONENTS-GATE (QPQ) PN AS1016-07-C3 410SS ASSEMBLY MUD GATE VALVE 2-1/16"" 5K SAYA"
03-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,26,USD,4,PCS,INDUSTRIAL VALVE PARTS -SLEEVE 5/4 ITEM : S1054101
03-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,959,USD,98.4,INC,INDUSTRIAL VALVE PARTS - 5/4 HOSE BLUE ITEM : 54001
03-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,127,USD,13,INC,INDUSTRIAL VALVE PARTS -5/4 HOSE BLUE ITEM : 54001
03-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,39,USD,6,PCS,INDUSTRIAL VALVE PARTS -SLEEVE 5/4 ITEM : S1054101
03-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,180,USD,4,PCS,INDUSTRIAL VALVE PARTS -5/4 INSERT 3/8-24 HP NIP SS ITEM : I40540205B
03-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,270,USD,6,PCS,INDUSTRIAL VALVE PARTS -5/4 INSERT 3/8-24 HP NIP SS ITEM :I40540205B
30-04-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,79708,0,USD,49,NOS,"INDUSTRIAL VALVES ASSEMBLY,MANUAL GATE VALVE(SLAB GATE TYPE),1 13/16-15K TEMP X, EE-NL BODY/BNT SS41"
30-04-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,25007,0,USD,20,NOS,"INDUSTRIAL VALVES ASSEMBLY,MANUAL GATE VALVE(SLAB GATE TYPE),1 13/16-10K TEMP X, EE-NL BODY/BNT 4130"
30-04-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,38214,0,USD,21,NOS,"INDUSTRIAL VALVES ASSEMBLY,MANUAL GATE VALVE(SLAB GATE TYPE),2 1/16-10K U,FF-NL BODY/BNT SS410-75K,"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,2808,0,USD,240,NOS,"SALE OF FASTENERS:TAP END STUD 1 1/8 8UNR 2A X 6.500 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,5171.4,0,USD,26,NOS,"SALE OF FASTENERS:-TAP END STUD 3 8UNR 2A X 27.500 LG BSL 3 XYLAN BLUE COATED 1070,ASTM A320 GR.L43M"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,5385.6,0,USD,352,NOS,"SALE OF FASTENERS:TAP END STUD 1 3/8 8UNR 2A X 6.500 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,691.2,0,USD,24,NOS,"SALE OF FASTENERS:HEAVY HEX NUT 2 1 /4 8UNR 2B BSL 3 XYLAN BLUE COATED 1070,ASTMA194 GR.7,MS0106CE A"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,4896,0,USD,40,NOS,"SALE OF FASTENERS:TAP END STUD 3 8UNR 2AX 16.750 LG BSL 3 XYLAN BLUE COATED 1070,ASTM A320 GR.L43MS0"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1900.8,0,USD,192,NOS,"SALE OF FASTENERS:- TAP END STUD 1 1/8 8UNR 2A X 5.500 LG BSL 3 XYLAN BLUE COATED 1070,ASTM A320 GR."
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1684.8,0,USD,24,NOS,"SALE OF FASTENERS:- TAP END STUD 2 1/4 8UNR 2A X 14500 LG BSL 3 XYLAN BLUE COATED 1070,ASTM A320 GR."
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,5490,0,USD,100,NOS,"SALE OF FASTENERS:-HEAVY HEX NUT 3 8UNR2B BSL 3 XYLAN BLUE COATED 1070,ASTM A194 GR.7,MS0106C AP1 20"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,129.6,0,USD,24,NOS,"SALE OF FASTENERS:HEAVY HEX NUT 7/8 9UNC2B BSL 3 XYLAN BLUE COATED 1070, ASTM A194 GR.7,MS0106CE AP1"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,3643.2,0,USD,368,NOS,"SALE OF FASTENERS:- HEAVY HEX NUT 1 3/88UNR 2B BSL 3 XYLAN BLUE COATED 1070,ASTM A194 GR.7,MS0106CE"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,918,0,USD,60,NOS,"SALE OF FASTENERS:TAP END STUD,1-1/8 8UNR 2A X 8250 LG BSL 3 XYLAN COATED BLUE 1070,ASTM A320 GR.I43"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,172.8,0,USD,24,NOS,"SALE OF FASTENERS:- TAP END STUD 7/8 9UNC 2A X 5.500 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1197,0,USD,70,NOS,"SALE OF FASTENERS:TAP END STUD,1-1/8 8UNR 2A X 9500 LG BSL 3 XYLAN COATED BLUE 1070 ASTM A320 GR.I43"
22-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,540,0,USD,24,NOS,"SALE OF FASTENERS:TAP END STUD 1 3/8 8UNR 2A X 9.750 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,129.6,0,USD,24,NOS,"SALE OF FASTENERS:HEAVY HEX NUT 7/8 9UNC2B BSL 3 XYLAN BLUE COATED 1070,ASTM A194 GR.7,MS0106CE AP1"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,3643.2,0,USD,368,NOS,"SALE OF FASTENERS:HEAVY HEX NUT 1 3/8 8UNR 2B BSL 3 XYLAN BLUE COATED 1070,ASTMA194 GR.7,MS0106CE AP"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,691.2,0,USD,24,NOS,"SALE OF FASTENERS:HEAVY HEX NUT 2 1 /4 8UNR 2B BSL 3 XYLAN BLUE COATED 1070,ASTMA194 GR.7,MS0106CE A"
