ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
22-10-2020,JVS ENGINEERS PTE.LTD.,Singapore,JVS INDUSTRIES PVT LTD,India,36784.38,0,INR,6,Pieces,VALVE:HCR Gate Valve 3-1/16 x 10000 psi  Through conduit  full bore gate valve  Ring groove: BX-154
22-10-2020,JVS ENGINEERS PTE.LTD.,Singapore,JVS INDUSTRIES PVT LTD,India,0,0,INR,0,Pieces,Export Under Bond NO:B-17/JVS/01/D.WAGH/ 2016-17 DATED 23.03.2017 VALID UPTO 03.0 1.2022
22-10-2020,JVS ENGINEERS PTE.LTD.,Singapore,JVS INDUSTRIES PVT LTD,India,26232.72,0,INR,6,Pieces,VALVE:Manual Gate Valve 3-1/16 x 10000 PSI  through conduit  full bore  Ring Gr oove: BX-154  Temp.
19-10-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,3938.56,0,INR,2,NOS,"VALVE: SET OF FULL REPAIR KIT FOR 2-1/16 """" X 15000 PSI MANUAL GATE VALVE"
19-10-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,1887.06,0,INR,2,SET,"FREE REPLACEMENT SUPPLY AGAINST WARRANTY PARTS: SET OF SPARES FOR MANUAL DRILLIN G CHOKE 3-1/16""""X150"
19-10-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,3291.94,0,INR,1,NOS,"VALVE: MANUAL GATE VALVE 2-1/16""""X 15000 PSI  THROUGH CONDUIT  FULL BORE GATE VAL VE  RING GROOVE: R-"
19-10-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,INR,1,NOS,GREEN CARD NO. KASEZ/12/2016-17 DATED 04 .01.2017 VALID UPTO 03.01.2022 * MEIS DE SC - OTHER
19-10-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,INR,1,NOS,LUT REF: B-17/JVS/01/D.WAGH/2016-17 DATE D 23.03.2017 VALID UPTO 03.01.2022
17-10-2020,GULF DRILLING INTERNATIONAL Q.S.C,Qatar,JVS INDUSTRIES PVT LTD,India,3744.28,0,INR,4,Set,VALVE PART SET OF SEAL KIT FOR 3-1/16 X 10000 PSI MANUAL GATE VALVE (DETAILS AS PER INVOICE)
17-10-2020,GULF DRILLING INTERNATIONAL Q.S.C,Qatar,JVS INDUSTRIES PVT LTD,India,5099.68,0,INR,4,Set,VALVE PART SET FO SELA KIF ROR 3-1/16 X 10000 PSI HCR GATE VALVE (DETAILS AS PER INVOICE)
17-10-2020,"SEADRILL AMERICAS, INC.",United States,JVS INDUSTRIES PVT LTD,India,2748.18,0,INR,1,SET,FREE REPLACEMENT SUPPLY PARTS AGAINST WA RRANTY PARTS- SET OF SEAL KIT FOR MANUAL AND HCR GAE VALVE
17-10-2020,GULF DRILLING INTERNATIONAL Q.S.C,Qatar,JVS INDUSTRIES PVT LTD,India,5966.18,0,INR,2,Set,VALVE PART SET OF FULL REPAIR KIT 3-1/6 X10000 PSI MANUAL GATE VALVE  (DETAILS A S PER INVOICE)
17-10-2020,GULF DRILLING INTERNATIONAL Q.S.C,Qatar,JVS INDUSTRIES PVT LTD,India,7510.4,0,INR,2,Set,VALVE PART SET OF FULL REPAIR KIT FOR 3- 1/616 X 10000 PSI HCR GATE VALVE (DETAI LS AS PER INVOICE)
17-10-2020,"SEADRILL AMERICAS, INC.",United States,JVS INDUSTRIES PVT LTD,India,3000,0,INR,1,SET,SET OF SEAL KIT FOR MANUAL AND HCR GAE V
